ThingID,ObsID
1077,4307
1078,4310
1079,4313
1080,4316
1081,4319
1082,4322
1083,4325
1084,4328
1085,4331
1086,4334
1087,4337
1088,4340
1089,4343
1090,4346
1091,4349
1092,4352
1093,4355
1094,4358
1095,4361
1096,4364
1097,4367
1098,4370
1099,4373
1100,4376
1101,4379
1102,4382
1103,4385
1104,4388
1105,4391
1106,4394
1107,4397
1108,4400
1109,4403
1110,4406
1111,4409
1112,4412
1113,4415
1114,4418
1115,4421
1116,4424
1117,4427
1118,4430
1119,4433
1120,4436
1121,4439
1122,4442
1123,4445
1124,4448
1125,4451
1126,4454
1127,4457
1128,4460
1129,4463
1130,4466
1131,4469
1132,4472
1133,4475
1134,4478
1135,4481
1136,4484
1137,4487
1138,4490
1139,4493
1140,4496
1141,4499
1142,4502
1143,4505
1144,4508
1145,4511
1146,4514
1147,4517
1148,4520
1149,4523
1150,4526
1151,4529
1152,4532
1153,4535
1154,4538
1155,4541
1156,4544
1157,4547
1158,4550
1159,4553
1160,4556
1161,4559
1162,4562
1163,4565
1164,4568
1165,4571
1166,4574
1167,4577
1168,4580
1169,4583
1170,4586
1171,4589
1172,4592
1173,4595
1174,4598
1175,4601
1176,4604
1177,4607
1178,4610
1179,4613
1180,4616
1181,4619
1182,4622
1183,4625
1184,4628
1185,4631
1186,4634
1187,4637
1188,4640
1189,4643
1190,4646
1191,4649
1192,4652
1193,4655
1194,4658
1195,4661
1196,4664
1197,4667
1198,4670
1199,4673
1200,4676
1201,4679
1202,4682
1203,4685
1204,4688
1205,4691
1206,4694
1207,4697
1208,4700
1209,4703
1210,4706
1211,4709
1212,4712
1213,4715
1214,4718
1215,4721
1216,4724
1217,4727
1218,4730
1219,4733
1220,4736
1221,4739
1222,4742
1223,4745
1224,4748
1225,4751
1226,4754
1227,4757
1228,4760
1229,4763
1230,4766
1231,4769
1232,4772
1233,4775
1234,4778
1235,4781
1236,4784
1237,4787
1238,4790
1239,4793
1240,4796
1241,4799
1242,4802
1243,4805
1244,4808
1245,4811
1246,4814
1247,4817
1248,4820
1249,4823
1250,4826
1251,4829
1252,4832
1253,4835
1254,4838
1255,4841
1256,4844
1257,4847
1258,4850
1259,4853
1260,4856
1261,4859
1262,4862
1263,4865
1264,4868
1265,4871
1266,4874
1267,4877
1268,4880
1269,4883
1270,4886
1271,4889
1272,4892
1273,4895
1274,4898
1275,4901
1276,4904
1277,4907
1278,4910
1279,4913
1280,4916
1281,4919
1282,4922
1283,4925
1284,4928
1285,4931
1286,4934
1287,4937
1288,4940
1289,4943
1290,4946
1291,4949
1292,4952
1293,4955
1294,4958
1295,4961
1296,4964
1297,4967
1298,4970
1299,4973
1300,4976
1301,4979
1302,4982
1303,4985
1304,4988
1305,4991
1306,4994
1307,4997
1308,5000
1309,5003
1310,5006
1311,5009
1312,5012
1313,5015
1314,5018
